ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.08,204.89,207.91,7.3,368.52,564.31,10.38,86.99,2.96,0
3.72,129.42,186.3,6.64,333.78,592.89,15.18,56.33,4.5,0
8.1,224.24,199.1,9.28,333.78,418.61,16.87,66.42,3.06,0
8.32,214.37,220.18,8.06,356.89,363.27,18.44,100.34,4.63,0
9.09,181.1,179.79,6.55,310.14,398.41,11.56,32.0,4.08,0
5.58,188.31,287.49,7.54,326.68,280.47,8.4,54.92,2.56,0
10.22,248.07,287.5,7.51,393.66,283.65,13.79,84.6,2.67,0
8.64,203.36,136.72,4.56,303.31,474.61,12.36,62.8,4.4,0
7.08,118.99,142.86,7.8,268.65,389.38,12.71,53.93,3.6,0
11.18,227.23,254.85,9.08,404.04,563.89,17.93,71.98,4.37,0
7.36,165.52,324.53,7.55,326.62,425.38,15.59,78.74,3.66,0
7.97,218.69,187.68,8.11,333.78,364.1,14.53,76.49,4.01,0
7.12,156.7,187.31,3.61,282.34,347.72,15.93,79.5,3.45,0
7.08,150.17,273.31,6.84,299.42,379.76,19.37,76.51,4.41,0
7.5,205.34,283.88,5.07,333.78,444.65,13.23,70.3,4.78,0
6.35,186.73,410.65,9.63,364.49,516.74,11.54,75.07,4.38,0
7.05,211.05,309.81,10.09,333.78,315.14,20.4,56.65,4.27,0
9.18,273.81,240.41,6.9,398.35,477.97,13.39,71.46,4.5,0
8.98,279.36,194.6,6.2,333.78,431.44,12.89,63.82,2.44,0
7.37,214.5,256.3,4.43,335.75,469.91,12.51,62.8,2.56,0
7.08,227.44,223.06,10.33,333.78,554.82,16.33,45.38,4.13,0
6.66,168.28,309.44,5.86,310.93,523.67,17.88,77.04,3.75,0
7.08,215.98,171.07,5.61,326.94,436.26,14.19,59.86,5.46,0
3.9,196.9,211.68,7.0,333.78,444.48,16.61,90.18,4.53,0
5.4,140.74,172.67,10.06,328.36,472.87,11.26,56.93,4.82,0
6.51,198.77,212.19,8.67,323.6,413.29,14.9,79.85,5.2,0
3.45,207.93,334.25,8.78,384.01,441.79,13.81,30.28,4.18,0
7.08,145.77,132.25,7.91,304.0,298.99,12.73,49.54,4.0,0
7.08,266.42,263.63,7.7,395.39,364.48,10.35,53.01,3.99,0
7.08,148.15,151.93,9.05,307.01,563.8,16.57,52.68,6.04,0
7.18,209.63,151.96,5.99,338.34,342.11,7.92,71.54,5.09,0
9.83,190.76,196.78,6.76,333.78,452.84,16.9,47.08,2.86,0
10.43,117.79,223.27,8.16,307.71,412.99,12.89,65.73,5.06,0
7.41,235.04,325.56,6.85,387.18,411.98,10.24,44.49,3.16,0
7.08,232.28,147.87,5.47,333.78,383.98,12.17,86.08,5.03,0
5.12,191.95,196.21,6.06,323.84,441.75,10.97,49.24,3.9,0
3.64,183.91,247.52,5.54,286.06,456.86,9.03,73.59,3.46,0
5.62,304.24,172.82,6.1,333.78,399.47,12.27,81.59,2.9,0
7.08,143.45,199.42,5.89,333.78,427.13,22.47,53.12,2.91,0
9.27,198.61,246.84,6.11,328.08,396.88,16.47,30.38,4.32,0
7.08,233.86,117.04,4.6,309.04,349.4,18.34,42.68,3.51,0
5.33,194.87,166.59,7.99,316.68,335.12,10.18,59.57,4.43,0
7.15,238.69,287.8,6.81,385.98,332.03,11.09,66.14,5.18,0
9.92,202.82,99.74,6.88,337.35,333.19,23.92,71.83,4.69,0
4.76,183.35,215.68,4.73,333.78,403.94,18.67,66.91,4.54,0
5.7,216.85,356.06,7.18,333.78,504.64,16.14,77.54,4.14,0
6.95,209.64,105.75,4.46,315.61,391.18,13.29,87.39,3.2,0
10.68,173.38,157.59,5.57,307.35,323.81,10.09,78.47,4.0,0
7.08,129.89,344.16,6.32,304.54,470.33,18.6,72.4,4.41,0
8.76,200.19,215.36,4.92,317.88,404.72,13.77,47.93,3.63,0
7.08,168.39,274.92,7.05,299.82,383.8,16.18,75.73,3.05,0
7.81,100.46,120.14,5.21,247.2,605.22,9.61,66.08,2.45,0
6.65,145.01,198.72,4.96,288.05,545.97,10.94,71.73,3.74,0
9.15,211.71,119.21,7.23,339.75,527.71,18.28,47.63,3.79,0
10.56,181.89,217.84,6.99,340.39,456.56,16.48,34.25,3.96,0
7.48,260.09,306.17,9.38,333.78,404.67,15.93,66.62,4.78,0
8.52,238.34,287.8,8.28,381.65,481.32,6.02,39.09,3.94,0
5.0,190.29,243.24,7.23,324.89,405.33,8.24,99.43,4.46,0
7.08,157.8,169.64,8.34,300.04,361.0,12.82,71.72,4.41,0
7.08,155.06,205.57,8.19,333.78,290.18,16.62,59.62,4.09,0
3.91,233.4,321.45,6.99,348.36,269.45,9.65,63.74,3.9,0
6.39,213.02,209.65,5.38,327.65,369.34,13.76,17.92,3.92,0
7.08,229.49,357.3,8.81,384.94,296.4,16.93,66.4,3.86,0
8.69,195.14,246.56,8.23,333.78,398.35,12.38,48.44,4.48,0
8.09,127.74,326.54,6.53,333.78,416.24,11.12,78.28,4.07,0
6.2,212.31,218.15,7.87,333.78,362.11,14.93,63.87,5.22,0
5.06,238.57,348.74,8.98,374.43,669.73,13.35,76.52,5.11,0
7.08,103.46,274.2,8.42,333.78,485.97,11.35,67.87,4.62,0
7.08,211.2,128.3,4.5,326.96,333.33,16.05,49.9,3.44,0
7.26,179.89,249.65,5.84,349.27,501.18,17.29,50.99,3.64,0
7.16,183.09,67.43,3.8,277.6,428.04,9.8,90.04,3.88,0
5.7,116.3,332.24,7.05,297.08,504.38,9.0,48.15,4.16,0
6.22,130.94,194.6,7.09,300.13,556.65,14.08,57.9,5.33,0
8.68,242.23,229.84,7.52,333.78,352.94,18.7,69.91,3.87,0
7.08,219.3,148.59,5.6,344.44,425.21,15.77,49.35,4.66,0
6.9,211.36,256.51,6.77,333.78,383.01,13.93,90.52,5.02,0
3.51,158.73,230.3,6.82,286.52,307.38,9.71,79.85,3.76,0
3.72,163.64,379.62,6.68,326.69,467.56,14.57,50.58,3.66,0
6.46,176.68,244.68,5.76,314.8,477.58,16.25,57.73,2.29,0
7.32,217.52,319.03,9.87,376.94,425.91,8.99,69.51,3.51,0
1.84,233.76,286.9,7.72,333.78,410.39,15.61,54.3,5.01,0
5.52,168.73,125.32,7.73,333.78,443.57,18.1,66.4,3.76,0
7.41,204.96,95.66,6.51,311.45,504.15,11.53,81.11,3.77,0
5.98,258.95,272.68,7.65,383.66,514.12,12.26,82.47,2.99,0
6.4,133.83,238.27,5.13,266.91,573.4,9.83,95.03,4.19,0
6.21,195.42,131.17,7.88,333.78,417.24,7.51,70.55,3.61,0
6.76,232.08,271.59,7.88,350.45,465.41,13.86,64.81,4.92,0
9.92,199.18,214.7,6.8,329.18,430.51,15.97,59.29,3.39,0
10.16,300.29,126.52,6.66,398.65,487.46,9.35,67.92,5.0,0
8.72,206.37,286.08,6.33,377.4,506.94,13.55,42.38,2.56,0
7.08,197.98,171.53,7.66,329.28,575.11,11.87,69.11,4.38,0
